ID,Business Name,Category,Sub-Category,Location,Estimated Roof m²,Phone,Email,Website,Contact Person Name,Contact Person Role,Priority,Outreach Channel,Status,Notes
24,Heritage BnB & Restaurant,Hotel,B&B,Pedasí,300,+507-6822-9011,,,,,C,WhatsApp,New,
25,Hostal Doña Maria,Hotel,Hostal,Pedasí,200,,,,,,D,In-Person,New,
26,Safari Hostel & Surf Camp,Hotel,Hostel/Surf,Playa Venao,400,,,safarisurfschool.com,,,B,Email,New,
27,Andromeda Beach Club (lodging),Hotel,Beach Club,Pedasí,600,+507-6215-0641,,,,,A,WhatsApp,New,
28,Bull Beach (camping & restaurant),Hotel,Camping/Restaurant,Playa Toro,300,+507-6683-5294,,,,,C,WhatsApp,New,
29,Blue Venao,Hotel,Boutique Lodge,Playa Venao,400,,,,,,B,In-Person,New,
30,Wao Beach Plaza (lodging),Hotel,Hotel,Playa Venao,500,,,,,,B,In-Person,New,
31,Gatto Blanco Beach,Hotel,Hotel/Restaurant,Playa Venao,400,,,,,,B,In-Person,New,
32,Drones Pedasi Ranch (Airbnb),Hotel,Vacation Rental,Pedasí,300,,,airbnb.com,,,D,In-Person,New,
33,Casa Catch and Relax (Airbnb),Hotel,Vacation Rental,Pedasí,200,,,airbnb.com,,,D,In-Person,New,
34,Casa Serena (Airbnb),Hotel,Vacation Rental,Los Destiladeros,250,,,airbnb.com,,,D,In-Person,New,
35,Villa La Jungla (Airbnb),Hotel,Vacation Villa,Pedasí,300,,,airbnb.com,,,D,In-Person,New,
36,Andromeda Beachfront Villa (Airbnb),Hotel,Vacation Villa,Andromeda,350,,,airbnb.com,,,D,In-Person,New,
37,Luxurious Oceanfront Villa Mariabé,Hotel,Vacation Villa,Mariabé,400,,,airbnb.com,,,B,In-Person,New,
38,Casa Beautiful - Birds & Monkeys,Hotel,Vacation Rental,Pedasí,350,,,airbnb.com,,,D,In-Person,New,
39,Los Buzos Resort,Hotel,Resort,Los Santos coast,800,,,losbuzosresort.com,,,B,Email,New,
40,Villa Camilla Boutique Hotel,Hotel,Boutique Hotel,Azueros,600,,,,,,B,In-Person,New,
41,Ocean Breeze Cove Villa,Hotel,Luxury Villa,Los Destiladeros,400,,,,,,B,In-Person,New,
42,Dos Mares (Brisas),Hotel,Lodging/Restaurant,Playa Venao,300,,,,,,D,In-Person,New,
43,Club Venao,Hotel,Hostel/Surf Club,Playa Venao,400,,,,,,B,In-Person,New,
44,Kahuna Venao,Hotel,Lodge/Surf,Playa Venao,300,,,,,,D,In-Person,New,
45,Isla Cañas Family Houses,Hotel,Eco-tourism,Cañas,200,,,,,,D,In-Person,New,
46,Bohemia Pizzeria & Pasta,Restaurant,Pizzeria,Pedasí,200,+507-6206-1808,,,,,C,WhatsApp,New,
47,Restaurante Smiley's,Restaurant,Bar/Restaurant,Pedasí,250,+507-6725-4995,,,,,C,WhatsApp,New,
48,Restaurante El Chichemito,Restaurant,Restaurant,Pedasí,150,+507-6690-7829,,,,,C,WhatsApp,New,
49,Candy's Restaurant and Bar,Restaurant,Restaurant/Bar,Purio,200,+507-6872-4298,,,,,C,WhatsApp,New,
50,The Black Pearl,Restaurant,Peruvian Restaurant,Pedasí,150,+507-6224-9149,,,,,C,WhatsApp,New,
51,Coucou Crazy,Restaurant,Café/Bar,Pedasí,100,+507-6270-6485,,,,,C,WhatsApp,New,
52,Dalila Café,Restaurant,Café,Pedasí,100,+507-6603-3262,,,,,C,WhatsApp,New,
53,Deadfish Bar,Restaurant,Bar,Pedasí,150,+507-6836-7565,,,,,C,WhatsApp,New,
54,Luna Rosa Pedasí,Restaurant,Restaurant,Pedasí,150,+507-6299-2391,,,,,C,WhatsApp,New,
55,Mama Fefa,Restaurant,Fonda,Pedasí,100,+507-6871-5041,,,,,C,WhatsApp,New,
56,Asados Pedasi,Restaurant,Grilled Meats,Pedasí,100,,,,,,D,TripAdvisor,New,
57,Andromeda Beach Club Restaurant,Restaurant,Restaurant,Pedasí,300,+507-6215-0641,,,,,C,WhatsApp,New,
58,Antojitos Fast Food,Restaurant,Fast Food,Pedasí,80,+507-6798-1687,,,,,C,WhatsApp,New,
59,Con Cuba Food,Restaurant,Cuban Restaurant,Pedasí,120,+507-6683-5294,,,,,C,WhatsApp,New,
60,Doña Maria - Que Como 507,Restaurant,Fonda,Pedasí,100,+507-6752-3736,,,,,C,WhatsApp,New,
61,Enrica y Pier Pizza,Restaurant,Pizzeria,Pedasí,80,+507-6215-6152,,,,,C,WhatsApp,New,
62,La Flaca,Restaurant,Restaurant,Pedasí,120,+507-6512-3944,,,,,C,WhatsApp,New,
63,Fonda Los Claveles,Restaurant,Fonda,Pedasí,100,+507-6700-1710,,,,,C,WhatsApp,New,
64,Frutos del Mar,Restaurant,Seafood,Pedasí,100,+507-6433-6232,,,,,C,WhatsApp,New,
65,Hello Kiki,Restaurant,Asian/Bubble Tea,Pedasí,80,+507-6209-6611,,,,,C,WhatsApp,New,
66,Marea Pedasí,Restaurant,Seafood,Pedasí,150,+507-6246-2155,,,,,C,WhatsApp,New,
67,Ni Chana Ni Juana,Restaurant,Coffee/Sandwich,Pedasí,80,+507-6210-4799,,,,,C,WhatsApp,New,
68,Le Panier Panaderia y Café,Restaurant,Bakery/Café,Pedasí,100,+507-6991-2578,,,,,C,WhatsApp,New,
69,El Portalito,Restaurant,Restaurant,Pedasí,100,+507-6993-0709,,,,,C,WhatsApp,New,
70,Qué Chévere - El Limón,Restaurant,Restaurant,El Limón,150,+507-6460-7379,,,,,C,WhatsApp,New,
71,Restaurante Ejecutivo,Restaurant,Chinese Restaurant,Pedasí,150,+507-6699-6168,,,,,C,WhatsApp,New,
72,Tradiciones de Mi Pueblo,Restaurant,Fonda,Pedasí,100,+507-6869-5369,,,,,C,WhatsApp,New,
73,Terry Restaurant,Restaurant,Restaurant,Los Destiladeros,200,+507-6517-8437,,,,,C,WhatsApp,New,
74,Hotel Posada Restaurant,Restaurant,Restaurant,Los Destiladeros,200,+507-6386-8826,,,,,C,WhatsApp,New,
75,Pacific Pearl Hotel Restaurant,Restaurant,Chinese/Restaurant,Los Destiladeros,200,+507-6490-1132,,,,,C,WhatsApp,New,
76,Del Patio Cocktails,Restaurant,Bar,Pedasí,80,,,,,,D,TripAdvisor,New,
77,Pedasi Sports Bar,Restaurant,Bar,Pedasí,120,,,,,,D,TripAdvisor,New,
78,Casa Loma,Restaurant,Bar/Live Music,Pedasí,150,,,,,,D,TripAdvisor,New,
79,Bar Restaurante y Billar El Paragua,Restaurant,Bar/Billiards,Pedasí,120,,,,,,D,TripAdvisor,New,
80,La Rosa de los Vientos,Restaurant,Beach Bar,Pedasí,100,,,,,,D,TripAdvisor,New,
81,Coleos Cafe,Restaurant,Mediterranean/Asian,Playa Venao,200,,,,,,D,TripAdvisor,New,
82,El Sitio Restaurant,Restaurant,Seafood/Bar,Playa Venao,300,,,,,,D,TripAdvisor,New,
83,La Quincha Restaurant,Restaurant,Panamanian Fusion,Playa Venao,200,,,,,,D,TripAdvisor,New,
84,Pizza Gavilán,Restaurant,Pizzeria,Playa Venao,150,,,,,,D,TripAdvisor,New,
85,La Barca Beach Bar & Restaurant,Restaurant,Beach Bar,Playa Venao,150,,,,,,D,TripAdvisor,New,
86,Jungle Restaurant (Los Naufragos),Restaurant,Restaurant,Playa Venao,200,,,,,,D,TripAdvisor,New,
87,El Café de Acá Venao,Restaurant,Café,Playa Venao,80,,,,,,D,TripAdvisor,New,
88,Bonjour Helados,Restaurant,Ice Cream,Playa Venao,50,,,,,,D,TripAdvisor,New,
89,La Hummuseria,Restaurant,Mediterranean,Playa Venao,100,,,,,,D,TripAdvisor,New,
90,Oleajes de Sabores,Restaurant,Panamanian Seafood,Playa Venao,120,,,,,,D,TripAdvisor,New,
91,Café y Pasteleria Argentino,Restaurant,Bakery/Café,Playa Venao,80,,,,,,D,TripAdvisor,New,
92,Pan Ar Panaderia Artesanal Argentina,Restaurant,Bakery,Playa Venao,80,,,,,,D,TripAdvisor,New,
93,Cantina Venao,Restaurant,French/Seafood Bar,Playa Venao,150,,,,,,D,TripAdvisor,New,
94,Fama Sushi,Restaurant,Japanese/Chinese,Playa Venao,100,,,,,,D,TripAdvisor,New,
95,Taco Flow,Restaurant,Mexican,Playa Venao,80,,,,,,D,TripAdvisor,New,
96,Selina Restaurant,Restaurant,Restaurant,Playa Venao,200,,,,,,D,TripAdvisor,New,
97,Micaela - Maximo Refinamiento,Restaurant,Italian,Playa Venao,150,,,,,,D,TripAdvisor,New,
98,Wao Poolside Bar & Restaurant,Restaurant,Bar/Restaurant,Playa Venao,200,,,,,,D,TripAdvisor,New,
99,Asados de Venao,Restaurant,Grilled Meats,Playa Venao,100,,,,,,D,TripAdvisor,New,
100,Almendro Café,Restaurant,Café,Playa Venao,80,,,,,,D,TripAdvisor,New,
101,Rico's Coffee,Restaurant,Coffee Shop,Playa Venao,60,,,,,,D,TripAdvisor,New,
102,Donde Rubén,Restaurant,Local Fonda,Playa Venao,80,,,,,,D,TripAdvisor,New,
103,Blue Venao Restaurant,Restaurant,Restaurant,Playa Venao,150,,,,,,D,TripAdvisor,New,
104,Playa Venao Coffee Roasters,Restaurant,Coffee Roaster,Playa Venao,100,,,,,,D,TripAdvisor,New,
105,Artisan Pizzeria & Pasta Café,Restaurant,Café/Pizzeria,Playa Venao,100,,,,,,D,TripAdvisor,New,
106,Restaurant 1 Isla Cañas,Restaurant,Local Fonda,Cañas,80,,,,,,D,TripAdvisor,New,
107,Restaurant 2 Isla Cañas,Restaurant,Local Fonda,Cañas,80,,,,,,D,TripAdvisor,New,
108,Restaurant 3 Isla Cañas,Restaurant,Local Fonda,Cañas,80,,,,,,D,TripAdvisor,New,
109,Fonda roadside Cañas,Restaurant,Fonda,Cañas,60,,,,,,D,TripAdvisor,New,
110,Mini-restaurant Cañas,Restaurant,Local Eatery,Cañas,60,,,,,,D,TripAdvisor,New,
111,Super Pedasí,Shop,Supermarket,Pedasí,400,,,,,,B,In-Person,New,
112,Super Centro El Pueblo,Shop,Supermarket,Pedasí,350,,,,,,D,In-Person,New,
113,Ana's Supermarket,Shop,Supermarket,Pedasí,300,,,,,,D,In-Person,New,
114,Supermercado El Parque,Shop,Supermarket,Pedasí,250,,,,,,D,In-Person,New,
115,Abarrotería Los Macaraqueños,Shop,Mini-super,Pedasí,100,,,,,,D,In-Person,New,
116,Mercadito ¡Gracias a Dios!,Shop,Mini-super,Pedasí,80,,,,,,D,In-Person,New,
117,Mini Market y Carniceria M.A Pedasi,Shop,Mini-market/Butcher,Pedasí,120,,,,,,D,In-Person,New,
118,Artemania (Boutique),Shop,Gift/Artisan Shop,Pedasí,80,+507-6308-9626,,,,,C,WhatsApp,New,
119,Artes las Molas,Shop,Gift Shop/Crafts,Pedasí,60,+507-6700-1710,,,,,C,WhatsApp,New,
120,IAN Store and More,Shop,Clothing/General,Pedasí,100,,,,,,D,In-Person,New,
121,VARPANET,Shop,Clothing,Pedasí,80,,,,,,D,In-Person,New,
122,Yantra Nature Therapy,Shop,Aromatherapy Shop,Pedasí,60,+507-6252-6235,,,,,C,WhatsApp,New,
123,Art Studio Terracotta,Shop,Pottery/Art,Pedasí,80,,,,,,D,In-Person,New,
124,Farmacia Edith,Shop,Pharmacy,Pedasí,80,,,,,,D,In-Person,New,
125,Dive-N-Fish Pedasi,Shop,Dive Shop,Pedasí,100,,,,,,D,In-Person,New,
126,The Butcher's Cut,Shop,Butcher Shop,Punta Mala,100,+507-6755-5303,,,,,C,WhatsApp,New,
127,LA CASA DEL CERDO,Shop,Pork Products,Pedasí,80,+507-6537-4678,,,,,C,WhatsApp,New,
128,La Casita de Naty,Shop,Artisan Cheese/Food,Pedasí,60,+507-6994-8092,,,,,C,WhatsApp,New,
129,Finca 588,Shop,Organic Farm/Shop,Pedasí,100,+507-6295-8083,,,,,C,WhatsApp,New,
130,Sabores Pedasí,Shop,Jams/Artisan Shop,Pedasí,60,+507-6214-4502,,,,,C,WhatsApp,New,
131,Distribuidora Libadi,Shop,Liquor/Party Rental,Pedasí,150,+507-6679-4050,,,,,C,WhatsApp,New,
132,Floristería Santa Catalina,Shop,Florist,Pedasí,60,+507-6297-9193,,,,,C,WhatsApp,New,
133,Bocaditos de Amor (Dog Treats),Shop,Pet Products,Pedasí,40,,,,,,D,In-Person,New,
134,CloudForest Botanicals (CBD),Shop,Health Products,Pedasí,40,+507-6780-1557,,,,,C,WhatsApp,New,
135,Patty's Sweets,Shop,Bakery,Pedasí,60,+507-6474-2591,,,,,C,WhatsApp,New,
136,Pancasero Artisan Bread,Shop,Bakery,Pedasí,60,+507-6533-4979,,,,,C,WhatsApp,New,
137,Cravings Los Mangos (Custom Cakes),Shop,Bakery,Pedasí,50,+507-6587-0637,,,,,C,WhatsApp,New,
138,Lupe Claros Pastries,Shop,Bakery,Pedasí,50,+507-6510-9754,,,,,C,WhatsApp,New,
139,Pasteleria Mil Hojas,Shop,Pastry Shop,Pedasí,80,,,,,,D,In-Person,New,
140,Jungla Coffee (Plaza Sta. Catalina),Shop,Coffee Shop,Pedasí,60,,,,,,D,In-Person,New,
141,Vivero Entre Verdes,Shop,Plant Nursery,Pedasí,100,+507-6445-1946,,,,,C,WhatsApp,New,
142,Vivero BP Plantas,Shop,Plant Nursery,Guararé,150,+507-6625-1384,,,,,C,WhatsApp,New,
143,Essential Bocas Health Products,Shop,Health Store,Pedasí,50,+507-6415-2980,,,,,C,WhatsApp,New,
144,Medical Supplies Store,Shop,Medical Supplies,Pedasí,60,+507-979-0383,,,,,C,WhatsApp,New,
145,Mini-super Cañas 1,Shop,Tienda,Cañas,80,,,,,,D,In-Person,New,
146,Mini-super Cañas 2,Shop,Tienda,Cañas,60,,,,,,D,In-Person,New,
147,Tienda Playa Venao 1,Shop,Mini-super,Playa Venao,80,,,,,,D,In-Person,New,
148,La Casita Hardware Playa Venao,Shop,Hardware Store,Playa Venao,150,+507-6589-3835,,,,,C,WhatsApp,New,
149,Ice Cream Shop Pedasí,Shop,Heladería,Pedasí,50,+507-6355-9758,,,,,C,WhatsApp,New,
150,Surf Dojo (Board Rental/Shop),Shop,Surf Shop,Playa Venao,100,,,,,,D,In-Person,New,
151,Felix Hardware (Ferretería),Services,Hardware Store,El Limón,300,+507-6511-1918,,,,,C,WhatsApp,New,
152,Materiales Pedasí,Services,Hardware/Building,Pedasí,400,+507-995-2200,,,,,A,WhatsApp,New,
153,Total Tools and Hardware,Services,Hardware,Pedasí,200,+507-6565-9564,,,,,C,WhatsApp,New,
154,Terpel Gas Station,Services,Gas Station,Pedasí,200,,,,,,D,In-Person,New,
155,Gas Station Cañas/Highway,Services,Gas Station,Cañas,150,,,,,,D,In-Person,New,
156,Servicentro (Auto Repair),Services,Auto Repair,Pedasí,200,+507-6412-9563,,,,,C,WhatsApp,New,
157,Mobile Mechanic (European cars),Services,Auto Repair,Pedasí,100,+507-6913-8731,,,,,C,WhatsApp,New,
158,AutosPanama,Services,Car Rental/Repair,Pedasí,200,+507-6662-4418,,,,,C,WhatsApp,New,
159,Clean Bubbles Lavandería,Services,Laundry,Pedasí,100,,,,,,D,In-Person,New,
160,Lavandería Amparo,Services,Laundry,Pedasí,80,,,,,,D,In-Person,New,
161,KE Cleaning Systems,Services,Upholstery Cleaning,Pedasí,60,+507-6858-5202,,,,,C,WhatsApp,New,
162,Copy Shop Pedasí,Services,Copy/Print,Pedasí,60,,,,,,D,In-Person,New,
163,Computer Repair Pedasí,Services,Tech Services,Pedasí,60,,,,,,D,In-Person,New,
164,Pempos 4Wheels,Services,Vehicle Rental,Pedasí,150,,,,,,D,In-Person,New,
165,Vielka Quintero Delivery Service,Services,Delivery,Pedasí,60,+507-6419-2148,,,,,C,WhatsApp,New,
166,Shokogi Surf School,Services,Surf School,Playa Venao,200,,,shokogi.com,,,D,Email,New,
167,Corotu Spa,Services,Spa,Pedasí,150,,,,,,D,In-Person,New,
168,Nourish Spa at Eco Venao,Services,Spa,Playa Venao,100,+507-6249-7626,,,,,C,WhatsApp,New,
169,Malee Spa,Services,Facial/Massage,Pedasí,80,+507-6213-3982,,,,,C,WhatsApp,New,
170,Ipalacios Hair Salon,Services,Salon,Pedasí,60,+507-6541-0546,,,,,C,WhatsApp,New,
171,Cliché Salon Barber,Services,Barber,Playa Venao,40,+507-6391-0228,,,,,C,WhatsApp,New,
172,Hellen's Nail Salon,Services,Nail Salon,Pedasí,40,+507-6337-5989,,,,,C,WhatsApp,New,
173,Pedasí Fitness Club,Services,Gym,Pedasí,200,+507-6696-0243,,,,,C,WhatsApp,New,
174,"Pedasí Outdoor Gym (""Shack"")",Services,Gym/PT,Pedasí,100,+507-6861-3948,,,,,C,WhatsApp,New,
175,Aerial & Pilates Fitness Studio,Services,Fitness Studio,Mariabé,100,+507-6415-2980,,,,,C,WhatsApp,New,
176,Zumba Classes (Melanie),Services,Fitness,Pedasí,,+507-6987-0705,,,,,C,WhatsApp,New,
177,Gymnastics (Waleska),Services,Fitness,Pedasí,,+507-6317-2981,,,,,C,WhatsApp,New,
178,Yoga at Andromeda Beach Club,Services,Yoga,Pedasí,,+507-6284-5007,,,,,C,WhatsApp,New,
179,Yumi Intuitive Healing,Services,Reiki/Healing,Pedasí,,+507-6865-3452,,,,,C,WhatsApp,New,
180,Francesca Love Massage,Services,Massage,Pedasí,,+507-6409-7777,,,,,C,WhatsApp,New,
181,Carol Ramirez Massage,Services,Massage,Pedasí,,+507-6501-2728,,,,,C,WhatsApp,New,
182,Viviana Vivu Thai Massage,Services,Massage,Pedasí,,+507-6150-9719,,,,,C,WhatsApp,New,
183,Alessandra Vicari Massage/PT,Services,Massage/Trainer,Pedasí,,+507-6483-3060,,,,,C,WhatsApp,New,
184,Women's Wellness Retreat Venao,Services,Retreat,Playa Venao,300,,,retreat.guru,,,D,Email,New,
185,Extremesportvenao,Services,Surf/Adventure,Playa Venao,100,,,,,,D,In-Person,New,
186,Pacific Paradise Dive Shop & Ocean Lovers,Services,Dive/Snorkel,Pedasí,100,,,,,,D,In-Person,New,
187,Panama Heavens Playa Venao,Services,Tours/Snorkel,Playa Venao,80,,,,,,D,In-Person,New,
188,ICT Experiencias,Services,Tours/Scuba,Pedasí,60,,,,,,D,In-Person,New,
189,Pedasi Tours (Fishing/Zipline),Services,Tour Operator,Pedasí,80,,,,,,D,In-Person,New,
190,Pedasi Trips,Services,Tour Operator,Pedasí,60,,,,,,D,In-Person,New,
191,Turismo VYA Panama,Services,Boat Tours,Pedasí,60,,,,,,D,In-Person,New,
192,Discovery Extreme Panama Tours,Services,Eco Tours,Pedasí,60,,,,,,D,In-Person,New,
193,Save The Turtles Playa Venao,Services,Conservation/Tour,Playa Venao,100,,,,,,D,In-Person,New,
194,Playa Venao Fishing (Tuna Coast),Services,Fishing Charter,Playa Venao,80,,,,,,D,In-Person,New,
195,Buena Vida Language School,Services,Language School,Pedasí,80,,,,,,D,In-Person,New,
196,Jessica Solomon Hair (home studio),Services,Hair Salon,Pedasí,,+44-7786-535515,,,,,C,WhatsApp,New,
197,Conscious Haircuts (Amanda),Services,Hair Salon,Playa Venao,,+61-437-146-850,,,,,C,WhatsApp,New,
198,Juli's Nail Services,Services,Mobile Services,Pedasí,,+507-6593-3120,,,,,C,WhatsApp,New,
199,Raygner Muñoz Barber,Services,Barber,Pedasí,40,+507-6788-9308,,,,,C,WhatsApp,New,
200,Isabel Diaz Manicure,Services,Mobile Services,Pedasí,,+507-6541-1309,,,,,C,WhatsApp,New,
201,Panama Sovereign Realty,Real Estate,Agency,Pedasí,150,,,panamasovereign.com,,,D,Email,New,
202,Azuero Panama Real Estate,Real Estate,Agency,Pedasí,100,,,escapeartist.com,,,D,Email,New,
203,Open Doors Panama Estates,Real Estate,Agency,Pedasí,100,,,opendoorspanama.com,,,D,Email,New,
204,Panama Properties (Ken Norton),Real Estate,Agent,Pedasí,80,+507-6169-2453,,,Ken Norton,Agent,C,WhatsApp,New,
205,Ama Panama Realty,Real Estate,Agency,Pedasí,80,,,amapanamarealty.com,,,D,Email,New,
206,Tropiland Panama,Real Estate,Agency,Azuero,80,,,,,,D,In-Person,New,
207,Pedasi Developments,Real Estate,Construction/RE,Pedasí,100,,,pedasidevelopments.com,,,D,Email,New,
208,Gatun Lake Construction,Real Estate,Construction,Pedasí,200,,,gatunlakeconstruction.com,,,D,Email,New,
209,Artifex Vitae Corp,Real Estate,Custom Homes,Los Destiladeros,150,,,artifexvitaecorp.com,,,D,Email,New,
210,Constructora Frica,Real Estate,Construction,Pedasí,150,,,,,,D,In-Person,New,
211,Costa Pedasí (gated community),Real Estate,Development,Pedasí,5000,,,,,,B,In-Person,New,
212,Andromeda Ocean Estates,Real Estate,Gated Community,Pedasí,3000,,,,,,B,In-Person,New,
213,Puerta Azul,Real Estate,Development,Pedasí,2000,,,,,,B,In-Person,New,
214,Ocean Waves Condo Resort,Real Estate,Condo Development,Pedasí,1500,,,,,,B,In-Person,New,
215,Vervana Resort (under construction),Real Estate,Resort Development,Playa Venao,3000,,,frapan-invest.com,,,B,Email,New,
216,Ipanema (under construction),Real Estate,Development,Pedasí,2000,,,frapan-invest.com,,,B,Email,New,
217,Haciendas del Toro,Real Estate,Development,Pedasí,1500,,,,,,B,In-Person,New,
218,Roy's Project,Real Estate,Development,Pedasí,1000,,,panamasovereign.com,,,B,Email,New,
219,Blue Venao Development,Real Estate,Development,Playa Venao,1500,,,,,,B,In-Person,New,
220,Robert Enrique Lau (Agent),Real Estate,Agent,Pedasí,,,,properstar.com,,,D,Email,New,
221,Victoria Levitam C (Agent),Real Estate,Agent,Pedasí,,,,properstar.com,,,D,Email,New,
222,Annie Urrutia (Agent),Real Estate,Agent,Pedasí,,,,,,,D,In-Person,New,
223,Maria Arosemena (Agent),Real Estate,Agent,Pedasí,,,,,,,D,In-Person,New,
224,Metro Realty Panama (Venao),Real Estate,Agency,Playa Venao,80,,,metrorealtypanama.com,,,D,Email,New,
225,Casa Solution (Pedasí office),Real Estate,Agency,Pedasí,80,,,casasolution.com,,,D,Email,New,
226,Municipio de Pedasí,Government,Municipal Government,Pedasí,400,,,,,,B,In-Person,New,
227,Policía Nacional - Pedasí,Government,Police Station,Pedasí,300,,,,,,D,In-Person,New,
228,Estación de Bomberos Pedasí,Government,Fire Station,Pedasí,400,,,,,,B,In-Person,New,
229,MINSA-CAPSI Pedasí (Health Center),Government,Hospital/Clinic,Pedasí,600,,,,,,B,In-Person,New,
230,Iglesia Católica San Pablo,Government,Catholic Church,Pedasí,500,,,,,,B,In-Person,New,
231,Chabad of Panama (Pedasí),Government,Religious Center,Pedasí,200,,,,,,D,In-Person,New,
232,Mireya Moscoso Museum,Government,Museum,Pedasí,200,,,,,,D,In-Person,New,
233,Escuela Primaria Pedasí,Government,Primary School,Pedasí,600,,,,,,B,In-Person,New,
234,Colegio Secundario Pedasí,Government,Secondary School,Pedasí,800,,,,,,B,In-Person,New,
235,Escuela Primaria Cañas,Government,Primary School,Cañas,400,,,,,,B,In-Person,New,
236,Corregiduría de Pedasí,Government,Local Government,Pedasí,200,,,,,,D,In-Person,New,
237,Juzgado de Paz Pedasí,Government,Court,Pedasí,150,,,,,,D,In-Person,New,
238,Correos de Panamá - Pedasí,Government,Post Office,Pedasí,100,,,,,,D,In-Person,New,
239,Banco Nacional (ATM),Government,Bank/ATM,Pedasí,150,,,,,,D,In-Person,New,
240,Caja de Ahorros (ATM),Government,Bank/ATM,Pedasí,100,,,,,,D,In-Person,New,
241,IDAAN (Water Authority),Government,Utility,Pedasí,150,,,,,,D,In-Person,New,
242,Iglesia Evangélica Pedasí,Government,Church,Pedasí,300,,,,,,D,In-Person,New,
243,Iglesia Católica Cañas,Government,Church,Cañas,300,,,,,,D,In-Person,New,
244,Kindergarten El Naranjal,Government,Pre-School,Pedasí,200,,,,,,D,In-Person,New,
245,Community Center Playa Venao,Government,Community Building,Playa Venao,200,,,,,,D,In-Person,New,
246,543-acre Oceanfront Working Ranch,Farm,Cattle Ranch,Pedasí,1000,,,escapeartist.com,,,B,Email,New,
247,20-ha Beachfront Ranch (La Gloria),Farm,Cattle Ranch,La Gloria,500,,,,,,B,In-Person,New,
248,200.5-ha Coastal Hacienda,Farm,Ranch,Pedasí,800,,,inmopanama.com,,,B,Email,New,
249,Norio Farm,Farm,Cattle Farm,Pedasí,400,,,inmopanama.com,,,B,Email,New,
250,59-ha Finca Mariabé,Farm,Farm,Mariabé,300,,,,,,D,In-Person,New,
251,19-ha Farm behind Venao Beach,Farm,Farm,Playa Venao,200,,,,,,D,In-Person,New,
252,10-ha Flat Farm (1.7mi to beach),Farm,Farm,Pedasí,200,,,,,,D,In-Person,New,
253,38-acre Homestead near Pedasí,Farm,Farm/Homestead,Pedasí,200,,,,,,D,In-Person,New,
254,48-ha Beachfront Dev. Property,Farm,Ranch/Development,Pedasí,300,,,,,,D,In-Person,New,
255,Farm Oria Arriba (dairy potential),Farm,Farm,Oria Arriba,300,,,panamacasarealty.com,,,D,Email,New,
256,Finca 588 (Organic Greens),Farm,Small Farm,Pedasí,150,+507-6295-8083,,,,,C,WhatsApp,New,
